Make,Injury_Rate,Fatality_Rate,Survival_Rate,Destroyed_Rate,Minor_Rate,Substantial_Rate,Safety_Score
Vans,0.3384615384615385,0.24615384615384617,0.41538461538461535,0.15294117647058825,0.0,0.8470588235294118,64.47963800904976
Cirrus design corp,0.21584699453551912,0.3005464480874317,0.48360655737704916,0.16201117318435754,0.05027932960893855,0.7877094972067039,66.76542418414384
Cirrus,0.208955223880597,0.263681592039801,0.527363184079602,0.22,0.03,0.75,67.04726368159204
Mooney,0.25036390101892286,0.2547307132459971,0.49490538573508,0.1506849315068493,0.010958904109589041,0.8383561643835616,67.06761580028314
Aero commander,0.2893081761006289,0.1949685534591195,0.5157232704402517,0.1827956989247312,0.0,0.8172043010752689,67.91641306553053
Grumman,0.29022988505747127,0.15804597701149425,0.5517241379310345,0.26406926406926406,0.008658008658008658,0.7272727272727273,68.36915957605613
Beech,0.17208182912154033,0.2539109506618532,0.5740072202166064,0.17844646606018194,0.025192442267319804,0.7963610916724982,69.3288415400771
Piper,0.19722707969023232,0.17949038221334,0.6232825380964276,0.12886100386100385,0.012065637065637066,0.859073359073359,72.89341753337506
North american,0.14516129032258066,0.20967741935483872,0.6451612903225806,0.1650485436893204,0.04854368932038835,0.7864077669902912,73.31663012840589
Air tractor,0.22337662337662337,0.15324675324675324,0.6233766233766234,0.12234042553191489,0.010638297872340425,0.8670212765957447,73.50870406189556
Bellanca,0.20843672456575682,0.1513647642679901,0.6401985111662531,0.10074626865671642,0.011194029850746268,0.8880597014925373,74.49955557201585
Champion,0.242914979757085,0.1214574898785425,0.6356275303643725,0.10126582278481013,0.0,0.8987341772151899,74.61435965766412
Cessna,0.1933686263583171,0.14669824463638897,0.6599331290052939,0.10749932560021581,0.010655516590234691,0.8818451578095495,75.03370796313376
Luscombe,0.31627906976744186,0.08372093023255814,0.6000000000000001,0.05921052631578947,0.0,0.9407894736842105,75.14137086903305
Aeronca,0.28753993610223644,0.10223642172523961,0.610223642172524,0.06829268292682927,0.01951219512195122,0.9121951219512195,75.48149302579289
Taylorcraft,0.32298136645962733,0.08074534161490683,0.5962732919254659,0.057692307692307696,0.028846153846153848,0.9134615384615384,75.98483038700431
Stinson,0.30165289256198347,0.06198347107438017,0.6363636363636364,0.050724637681159424,0.0,0.9492753623188406,76.8367469157983
Maule,0.1401098901098901,0.10164835164835165,0.7582417582417583,0.055299539170506916,0.004608294930875576,0.9400921658986175,79.74654377880185
Boeing,0.04662327095199349,0.0386899918633035,0.9146867371847031,0.07352941176470588,0.35294117647058826,0.5735294117647058,95.78444933709855
