Make_Model,Injury_Rate,Fatality_Rate,Survival_Rate,Destroyed_Rate,Minor_Rate,Substantial_Rate,Safety_Score
Boeing 777-200ER,0.6091205211726385,0.009771986970684038,0.38110749185667747,1.0,0.0,0.0,51.237785016286644
Beech A36,0.2289855072463768,0.336231884057971,0.4347826086956522,0.23026315789473684,0.0,0.7697368421052632,61.713577421815415
Cirrus design corp SR22,0.2076271186440678,0.3177966101694915,0.4745762711864407,0.1694915254237288,0.05084745762711865,0.7796610169491526,66.01694915254237
Piper PA-28-140,0.3105263157894737,0.18157894736842106,0.5078947368421052,0.13432835820895522,0.014925373134328358,0.8507462686567164,69.36645718774548
Piper PA-28-180,0.326271186440678,0.1440677966101695,0.5296610169491525,0.1,0.0,0.9,71.00847457627118
Piper PA28,0.2456575682382134,0.18114143920595532,0.5732009925558312,0.10810810810810811,0.009009009009009009,0.8828828828828829,71.68130910066394
Cessna 150,0.2647058823529412,0.13398692810457516,0.6013071895424837,0.1527777777777778,0.0,0.8472222222222222,72.30392156862746
Cessna 172M,0.24653739612188366,0.1523545706371191,0.6011080332409973,0.12060301507537688,0.0,0.8793969849246231,72.57408928298
Cessna 182,0.21843003412969283,0.1689419795221843,0.6126279863481229,0.14035087719298245,0.014035087719298246,0.8456140350877193,72.61403508771929
Cessna 177,0.33157894736842103,0.07894736842105263,0.5894736842105264,0.1590909090909091,0.0,0.8409090909090909,72.92344497607655
Cessna 172N,0.19429590017825313,0.17825311942959002,0.6274509803921569,0.11409395973154363,0.003355704697986577,0.8825503355704698,73.07725896948163
Cessna 182P,0.2962962962962963,0.10052910052910052,0.6031746031746033,0.07526881720430108,0.03225806451612903,0.8924731182795699,75.54702167605393
Cessna 172,0.19633307868601987,0.10466004583651642,0.6990068754774637,0.07307171853856563,0.0040595399188092015,0.9228687415426252,77.53735717438654
Cessna 172P,0.19117647058823528,0.07352941176470588,0.7352941176470589,0.06369426751592357,0.006369426751592357,0.9299363057324841,79.50543274634694
Cessna 152,0.1520572450805009,0.08228980322003578,0.7656529516994633,0.09951456310679611,0.014563106796116505,0.8859223300970874,79.77039442833076
Cessna 180,0.13526570048309178,0.04830917874396135,0.8164251207729469,0.03524229074889868,0.0,0.9647577092511013,82.82172423333121
Boeing 747-2B6B,1.0,0.0,0.0,0.0,1.0,0.0,90.0
Boeing 767,0.05290697674418605,0.07441860465116279,0.8726744186046511,0.1875,0.3125,0.5,90.31686046511628
Boeing 737 7H4,0.22596153846153846,0.0016025641025641025,0.7724358974358975,0.0,0.3333333333333333,0.6666666666666666,93.14102564102564
Boeing 737,0.04017857142857143,0.05044642857142857,0.909375,0.045454545454545456,0.36363636363636365,0.5909090909090909,96.27232142857142
